session_key,source_relpath,checksum_sha256,seq
498d34a4af5cdd21fe88be6293f24486599b7c1b,20011212_7.mp3,aab0cc0c67b6dfa9efc6adc7150602bbbd18bc45413a79998fc223880b4f6469,7
e108acde440ad3fceb87fb7e0737dbd040665aaa,20020502_1.mp3,205cc07b4fe67414750c16fd17291b18b32a3fafb529d938e19fe02deb3ea9b7,1
e108acde440ad3fceb87fb7e0737dbd040665aaa,20020502_2.mp3,5a6e045d434b8310f5fc86ac180336dd6054d13b6220c794300f59792cbac692,2
e108acde440ad3fceb87fb7e0737dbd040665aaa,20020502_3.mp3,70cd95c55404ec8d4108d372a1052097784254f7b7ed67ebe3cf02f89e051757,3
e108acde440ad3fceb87fb7e0737dbd040665aaa,20020502_4.mp3,4b48894a5e52906c97aada6fd1394e10eb798348c04d6e23aa271de6f0d8eb15,4
5f98d471aa3c70208183984c3c33116287306da2,StormPigs20021024_1_fleshmachine.mp4,3ed8bbc43ec35bb4662ac8b75843eb89fbd50557eccb3aa960cbc2f6e0601e4d,1
5f98d471aa3c70208183984c3c33116287306da2,StormPigs20021024_2_fountainofstillness.mp4,b212a654ddf160523373a7da95a0ddbfa752e6dbe57c13b6e220e0211bf71d95,2
5f98d471aa3c70208183984c3c33116287306da2,StormPigs20021024_3_gettingold.mp4,25823bec0d2950e1253c6d22903cefe5ed4e2fa4cb73da036fba818e67c85f4f,3
5f98d471aa3c70208183984c3c33116287306da2,StormPigs20021024_4_hollowbody.mp4,5a5a63917260e8d1d7b32ac4d5b2998fb48d35d97315874a218f86f02dbc7bbd,4
5f98d471aa3c70208183984c3c33116287306da2,StormPigs20021024_5_likeadrugaddict.mp4,b40e8cc50deea9c90f38df4ae44bfd999db4e2d04815ed1941a381db17c89a31,5
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_1_20030910dvdtitle.mp4,003a580b3ba54e9022a2a7f55e68aedd67c42a5a5768a749deffd32b0bc833eb,1
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_2_thesmackdown.mp4,280dacb5416429e3f001e84558bf1e0602fb0c7daa174bcb6123546e61681e24,2
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_3_straighteye.mp4,f05b46e2abafda2eb896854c411c8b44b0a34c8a4d01d790baa9d07f6b396b0b,3
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_4_snowballfromhell.mp4,7c4b1e3522c3febac0c4d2c0e8fa57b7920dbbdf98e414aaca91b8d7d007a44b,4
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_5_limitedrespect.mp4,2cead8cd56210fc0df64b16ccbf7b284e866499e50f09052de963dbc54cce3c8,5
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_6_christmashedied.mp4,6f0a19127316280639d864b3901cf47aaf67119515bb5388f813631781c6d9dc,6
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_7_sounding.mp4,c70b72a0c55685a97a765663b746fa1ef6defc3f3b9ccf9a329df10a830a832f,7
bb792fefd5c6b758bb56a734514d89c62eef3d19,StormPigs20030910_8_CurtisMartin.mp4,1ba2b12074bccd56a670b01fcb91ef5fb420781fb995e89d3ea020cef55467b8,8
288f7921374e4206f01ce750699b63b6df2bba09,20041221_1.mp3,c0048c29c3b0ae1f62cb1d489aa5bd64f947fde29c1e6bf84862752bd5e2e648,1
288f7921374e4206f01ce750699b63b6df2bba09,20041221_2.mp3,a48d87fda755ff7d0aaf4b6cfb16f1dc930f6639f26a0e0511102fcf82a81f36,2
288f7921374e4206f01ce750699b63b6df2bba09,20041221_3.mp3,5a1a1366055fcaca4ec801ec4567c17389d96fbc41faab53054f0f3da2299c1f,3
288f7921374e4206f01ce750699b63b6df2bba09,20041221_4.mp3,96c686e5fe32ce2307facddf2d519ac73790f5debb545ccdc22b5c2f8e247bbb,4
